"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1993","1","The Adventures of Brisco County, Jr.","8.3","9805","1993","1994","tvSeries","tt0105932","https://www.imdb.com/title/tt0105932/","Comedy","US","United States","US","US"
"1993","2","Frasier","8.2","103231","1993","2004","tvSeries","tt0106004","https://www.imdb.com/title/tt0106004/","Comedy","US","United States","US","US"
"1993","3","Late Night with Conan O'Brien","8.2","19801","1993","2009","tvSeries","tt0106052","https://www.imdb.com/title/tt0106052/","Comedy","US","United States","US","US"
"1993","4","Bill Nye the Science Guy","8.2","9033","1993","1998","tvSeries","tt0173528","https://www.imdb.com/title/tt0173528/","Comedy","US","United States","US","US"
"1993","5","Boy Meets World","8.1","49973","1993","2000","tvSeries","tt0105958","https://www.imdb.com/title/tt0105958/","Comedy","US","United States","US","US"
"1993","6","Rocko's Modern Life","7.9","22698","1993","1996","tvSeries","tt0106115","https://www.imdb.com/title/tt0106115/","Comedy","US;CA;JP;AU;TW;KR","United States;Canada;Japan;Australia;Taiwan (Province of China);Republic of Korea","US","AU;CA;US"
"1993","7","Space Ghost Coast to Coast","7.9","8347","1993","2012","tvSeries","tt0108937","https://www.imdb.com/title/tt0108937/","Comedy","US","United States","US","US"
"1993","8","Animaniacs","7.8","27734","1993","1998","tvSeries","tt0105941","https://www.imdb.com/title/tt0105941/","Comedy","US;JP;NZ;KR;PH;TW","United States;Japan;New Zealand;Republic of Korea;Philippines;Taiwan (Province of China)","US","NZ;US"
"1993","9","Living Single","7.7","7629","1993","1998","tvSeries","tt0106056","https://www.imdb.com/title/tt0106056/","Comedy","US","United States","US","US"
"1993","10","Beavis and Butt-Head","7.5","36469","1993","2011","tvSeries","tt0105950","https://www.imdb.com/title/tt0105950/","Comedy","US","United States","US","US"
"1993","11","The Nanny","7.2","55032","1993","1999","tvSeries","tt0106080","https://www.imdb.com/title/tt0106080/","Comedy","US","United States","US","US"
"1993","12","Late Show with David Letterman","7","14869","1993","2015","tvSeries","tt0106053","https://www.imdb.com/title/tt0106053/","Comedy","US","United States","US","US"
"1993","13","Biker Mice from Mars","7","5353","1993","1996","tvSeries","tt0147752","https://www.imdb.com/title/tt0147752/","Comedy","US;JP;PH","United States;Japan;Philippines","US","US"
"1993","14","Lois & Clark: The New Adventures of Superman","6.7","28904","1993","1997","tvSeries","tt0106057","https://www.imdb.com/title/tt0106057/","Comedy","US","United States","US","US"
"1993","15","Saved by the Bell: The College Years","6.3","5777","1993","1994","tvSeries","tt0106122","https://www.imdb.com/title/tt0106122/","Comedy","US","United States","US","US"
