"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2017","1","Castlevania","8.3","94806","2017","2021","tvSeries","tt6517102","https://www.imdb.com/title/tt6517102/","Fantasy","US","United States","US","US"
"2017","2","DuckTales","8.3","14199","2017","2021","tvSeries","tt5531466","https://www.imdb.com/title/tt5531466/","Fantasy","US","United States","US","US"
"2017","3","Happy!","8.1","45832","2017","2019","tvSeries","tt2452242","https://www.imdb.com/title/tt2452242/","Fantasy","US","United States","US","US"
"2017","4","American Gods","7.6","98367","2017","2021","tvSeries","tt1898069","https://www.imdb.com/title/tt1898069/","Fantasy","US","United States","US","US"
"2017","5","Future Man","7.6","33771","2017","2020","tvSeries","tt4975856","https://www.imdb.com/title/tt4975856/","Fantasy","US","United States","US","US"
"2017","6","Midnight, Texas","7.3","15723","2017","2018","tvSeries","tt5464086","https://www.imdb.com/title/tt5464086/","Fantasy","US","United States","US","US"
"2017","7","The Defenders","7.2","126997","2017","2017","tvMiniSeries","tt4230076","https://www.imdb.com/title/tt4230076/","Fantasy","US","United States","US","US"
"2017","8","The Gifted","7.2","40700","2017","2019","tvSeries","tt4396630","https://www.imdb.com/title/tt4396630/","Fantasy","US","United States","US","US"
"2017","9","Blood Drive","7.2","7401","2017","2017","tvSeries","tt4898282","https://www.imdb.com/title/tt4898282/","Fantasy","US","United States","US","US"
"2017","10","Emerald City","7.1","14527","2017","2017","tvSeries","tt3579018","https://www.imdb.com/title/tt3579018/","Fantasy","US","United States","US","US"
"2017","11","The Miniaturist","7","7052","2017","2018","tvMiniSeries","tt6889090","https://www.imdb.com/title/tt6889090/","Fantasy","GB","United Kingdom","GB","GB"
"2017","12","Britannia","6.9","19174","2017","2021","tvSeries","tt5932548","https://www.imdb.com/title/tt5932548/","Fantasy","GB;US","United Kingdom;United States","GB","GB;US"
"2017","13","Iron Fist","6.4","149215","2017","2018","tvSeries","tt3322310","https://www.imdb.com/title/tt3322310/","Fantasy","US","United States","US","US"
"2017","14","Ghost Wars","6.2","6056","2017","2018","tvSeries","tt6856484","https://www.imdb.com/title/tt6856484/","Fantasy","US;CA","United States;Canada","US","CA;US"
"2017","15","Room 104","6.1","6607","2017","2020","tvSeries","tt6064882","https://www.imdb.com/title/tt6064882/","Fantasy","US","United States","US","US"
