"Year","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"2019","The Boys","8.6","896247","2019","2026","tvSeries","tt1190634","https://www.imdb.com/title/tt1190634/","US","United States","US","US"
"2019","The Mandalorian","8.6","655732","2019","2023","tvSeries","tt8111088","https://www.imdb.com/title/tt8111088/","US","United States","US","US"
"2019","Love, Death & Robots","8.4","229613","2019","","tvSeries","tt9561862","https://www.imdb.com/title/tt9561862/","US","United States","US","US"
"2019","Harley Quinn","8.4","43218","2019","","tvSeries","tt7658402","https://www.imdb.com/title/tt7658402/","US","United States","US","US"
"2019","Infinity Train","8.4","11101","2019","2021","tvSeries","tt8146754","https://www.imdb.com/title/tt8146754/","US;KR","United States;Republic of Korea","US","US"
"2019","Amphibia","8.3","11727","2019","2022","tvSeries","tt8050740","https://www.imdb.com/title/tt8050740/","US;KR;CA","United States;Republic of Korea;Canada","US","CA;US"
"2019","Watchmen","8.2","146109","2019","2019","tvMiniSeries","tt7049682","https://www.imdb.com/title/tt7049682/","US","United States","US","US"
"2019","Years and Years","8.2","37561","2019","2019","tvMiniSeries","tt8694364","https://www.imdb.com/title/tt8694364/","GB;US","United Kingdom;United States","GB","GB;US"
"2019","Undone","8.2","26706","2019","2022","tvSeries","tt8101850","https://www.imdb.com/title/tt8101850/","US","United States","US","US"
"2019","For All Mankind","8.1","88633","2019","2027","tvSeries","tt7772588","https://www.imdb.com/title/tt7772588/","US","United States","US","US"
"2019","Helluva Boss","8","17392","2019","","tvSeries","tt10691770","https://www.imdb.com/title/tt10691770/","US","United States","US","US"
"2019","The Umbrella Academy","7.8","314888","2019","2024","tvSeries","tt1312171","https://www.imdb.com/title/tt1312171/","US","United States","US","US"
"2019","His Dark Materials","7.7","94580","2019","2022","tvSeries","tt5607976","https://www.imdb.com/title/tt5607976/","GB;US","United Kingdom;United States","GB","GB;US"
"2019","Doom Patrol","7.7","63507","2019","2023","tvSeries","tt8416494","https://www.imdb.com/title/tt8416494/","US","United States","US","US"
"2019","Beforeigners","7.7","13200","2019","2022","tvSeries","tt8332130","https://www.imdb.com/title/tt8332130/","NO","Norway","NO","NO"
"2019","Steven Universe Future","7.7","6782","2019","2020","tvMiniSeries","tt13714610","https://www.imdb.com/title/tt13714610/","US","United States","US","US"
"2019","See","7.6","110921","2019","2022","tvSeries","tt7949218","https://www.imdb.com/title/tt7949218/","US","United States","US","US"
"2019","Project Blue Book","7.6","15512","2019","2020","tvSeries","tt6632666","https://www.imdb.com/title/tt6632666/","US;CA","United States;Canada","US","CA;US"
"2019","Swamp Thing","7.3","29521","2019","2019","tvSeries","tt8362852","https://www.imdb.com/title/tt8362852/","US","United States","US","US"
"2019","The Hot Zone","7.3","10367","2019","2021","tvSeries","tt4131818","https://www.imdb.com/title/tt4131818/","US","United States","US","US"
"2019","To the Lake","7.2","16726","2019","2022","tvSeries","tt9151230","https://www.imdb.com/title/tt9151230/","RU","Russian Federation","RU","RU"
"2019","The Passage","7.2","13272","2019","2019","tvSeries","tt1074206","https://www.imdb.com/title/tt1074206/","US","United States","US","US"
"2019","Emergence","7.2","8543","2019","2020","tvSeries","tt9169658","https://www.imdb.com/title/tt9169658/","US","United States","US","US"
"2019","The Society","7.1","42567","2019","2019","tvSeries","tt8778064","https://www.imdb.com/title/tt8778064/","US","United States","US","US"
"2019","Living with Yourself","7.1","37557","2019","2019","tvMiniSeries","tt8880894","https://www.imdb.com/title/tt8880894/","US","United States","US","US"
"2019","Raising Dion","7.1","18007","2019","2022","tvSeries","tt7826108","https://www.imdb.com/title/tt7826108/","US","United States","US","US"
"2019","Creepshow","7","10600","2019","2023","tvSeries","tt8762206","https://www.imdb.com/title/tt8762206/","US","United States","US","US"
"2019","The Rook","6.8","5416","2019","2019","tvSeries","tt7395992","https://www.imdb.com/title/tt7395992/","US","United States","US","US"
"2019","Daybreak","6.7","26243","2019","2019","tvSeries","tt8755226","https://www.imdb.com/title/tt8755226/","US","United States","US","US"
"2019","War of the Worlds","6.5","20333","2019","2022","tvSeries","tt9686194","https://www.imdb.com/title/tt9686194/","GB;FR;US","United Kingdom;France;United States","GB","FR;GB;US"
"2019","Roswell, New Mexico","6.4","15226","2019","2022","tvSeries","tt7588054","https://www.imdb.com/title/tt7588054/","US","United States","US","US"
"2019","The Twilight Zone","6.1","20560","2019","2020","tvSeries","tt2583620","https://www.imdb.com/title/tt2583620/","US","United States","US","US"
"2019","V-Wars","6","16198","2019","2019","tvSeries","tt7403736","https://www.imdb.com/title/tt7403736/","US","United States","US","US"
"2019","Another Life","5.3","40457","2019","2021","tvSeries","tt8369840","https://www.imdb.com/title/tt8369840/","US","United States","US","US"
"2019","The War of the Worlds","5.2","10719","2019","2019","tvMiniSeries","tt8001226","https://www.imdb.com/title/tt8001226/","GB","United Kingdom","GB","GB"
"2019","The I-Land","4.7","20937","2019","2019","tvMiniSeries","tt9067020","https://www.imdb.com/title/tt9067020/","US","United States","US","US"
"2019","Pandora","4.3","6536","2019","2020","tvSeries","tt10207090","https://www.imdb.com/title/tt10207090/","US","United States","US","US"
"2019","Batwoman","3.6","48401","2019","2022","tvSeries","tt8712204","https://www.imdb.com/title/tt8712204/","US","United States","US","US"
