"Year","Rank","Title","IMDbScore","Votes","StartYear","EndYear","Type","IMDbId","IMDbUrl","Categories","OriginCountryCodes","OriginCountries","PrimaryOriginCountryCode","MatchedAllowedCountryCodes"
"1960","1","The Flintstones","7.5","44683","1960","1966","tvSeries","tt0053502","https://www.imdb.com/title/tt0053502/","Adventure","US","United States","US","US"
"1960","2","Popeye the Sailor","7.1","15598","1960","1962","tvSeries","tt0145628","https://www.imdb.com/title/tt0145628/","Adventure","US;GB","United States;United Kingdom","US","GB;US"
"1961","1","The Avengers","8.3","9819","1961","1969","tvSeries","tt0054518","https://www.imdb.com/title/tt0054518/","Sci-Fi","GB","United Kingdom","GB","GB"
"1961","2","Mister Ed","6.9","5179","1961","1966","tvSeries","tt0054557","https://www.imdb.com/title/tt0054557/","Fantasy","US","United States","US","US"
"1961","3","The Yogi Bear Show","6.6","11936","1961","1962","tvSeries","tt0255768","https://www.imdb.com/title/tt0255768/","Adventure","US","United States","US","US"
"1962","1","The Jetsons","7","26394","1962","1963","tvSeries","tt0055683","https://www.imdb.com/title/tt0055683/","Sci-Fi","US","United States","US","US"
"1963","1","Doctor Who","8.4","41394","1963","1989","tvSeries","tt0056751","https://www.imdb.com/title/tt0056751/","Adventure;Sci-Fi","GB","United Kingdom","GB","GB"
"1963","2","The Outer Limits","8.1","10368","1963","1965","tvSeries","tt0056777","https://www.imdb.com/title/tt0056777/","Fantasy;Sci-Fi","US","United States","US","US"
"1963","3","The Fugitive","8.1","5229","1963","1967","tvSeries","tt0056757","https://www.imdb.com/title/tt0056757/","Adventure","US","United States","US","US"
"1964","1","Jonny Quest","7.9","6004","1964","1965","tvSeries","tt0057730","https://www.imdb.com/title/tt0057730/","Adventure;Sci-Fi","US","United States","US","US"
"1964","2","The Munsters","7.8","18671","1964","1966","tvSeries","tt0057773","https://www.imdb.com/title/tt0057773/","Fantasy","US","United States","US","US"
"1964","3","The Man from U.N.C.L.E.","7.7","6998","1964","1968","tvSeries","tt0057765","https://www.imdb.com/title/tt0057765/","Adventure","US","United States","US","US"
"1964","4","Bewitched","7.6","27097","1964","1972","tvSeries","tt0057733","https://www.imdb.com/title/tt0057733/","Fantasy","US","United States","US","US"
"1965","1","Get Smart","8.2","15214","1965","1970","tvSeries","tt0058805","https://www.imdb.com/title/tt0058805/","Adventure;Sci-Fi","US","United States","US","US"
"1965","2","The Wild Wild West","8.1","7385","1965","1969","tvSeries","tt0058855","https://www.imdb.com/title/tt0058855/","Adventure","US","United States","US","US"
"1965","3","Thunderbirds","7.9","5674","1965","1966","tvSeries","tt0057790","https://www.imdb.com/title/tt0057790/","Adventure;Sci-Fi","GB","United Kingdom","GB","GB"
"1965","4","I Dream of Jeannie","7.4","19211","1965","1970","tvSeries","tt0058815","https://www.imdb.com/title/tt0058815/","Fantasy","US","United States","US","US"
"1965","5","Lost in Space","7.3","9839","1965","1968","tvSeries","tt0058824","https://www.imdb.com/title/tt0058824/","Adventure;Fantasy;Sci-Fi","US","United States","US","US"
"1966","1","Star Trek","8.4","100954","1966","1969","tvSeries","tt0060028","https://www.imdb.com/title/tt0060028/","Adventure;Sci-Fi","US","United States","US","US"
"1966","2","Dark Shadows","8.1","5998","1966","1971","tvSeries","tt0059978","https://www.imdb.com/title/tt0059978/","Fantasy;Sci-Fi","US","United States","US","US"
"1966","3","Batman","7.5","29221","1966","1968","tvSeries","tt0059968","https://www.imdb.com/title/tt0059968/","Fantasy","US","United States","US","US"
"1967","1","The Prisoner","8.4","16255","1967","1968","tvSeries","tt0061287","https://www.imdb.com/title/tt0061287/","Sci-Fi","GB","United Kingdom","GB","GB"
"1968","1","Mister Rogers' Neighborhood","8.8","10518","1968","2001","tvSeries","tt0062588","https://www.imdb.com/title/tt0062588/","Fantasy","US","United States","US","US"
"1968","2","Wacky Races","7.5","8795","1968","1969","tvSeries","tt0122365","https://www.imdb.com/title/tt0122365/","Adventure;Fantasy","US","United States","US","US"
"1969","1","Sesame Street","8.1","17122","1969","","tvSeries","tt0063951","https://www.imdb.com/title/tt0063951/","Fantasy","US","United States","US","US"
"1969","2","Scooby Doo, Where Are You!","7.9","47523","1969","1970","tvSeries","tt0063950","https://www.imdb.com/title/tt0063950/","Adventure","US","United States","US","US"
"1969","3","Night Gallery","7.9","6850","1969","1973","tvSeries","tt0065327","https://www.imdb.com/title/tt0065327/","Fantasy;Sci-Fi","US","United States","US","US"
"1969","4","Pippi Longstocking","7.4","5197","1969","1969","tvSeries","tt0062598","https://www.imdb.com/title/tt0062598/","Adventure;Fantasy","SE;XWG","Sweden;West Germany","SE","SE"
"1971","1","The Persuaders!","8","6521","1971","1972","tvSeries","tt0066701","https://www.imdb.com/title/tt0066701/","Adventure","GB","United Kingdom","GB","GB"
"1972","1","Emergency!","7.9","7114","1972","1979","tvSeries","tt0068067","https://www.imdb.com/title/tt0068067/","Adventure","US","United States","US","US"
"1972","2","Kung Fu","7.6","8300","1972","1975","tvSeries","tt0068093","https://www.imdb.com/title/tt0068093/","Adventure","US","United States","US","US"
"1972","3","The New Scooby-Doo Movies","7.6","6340","1972","1973","tvSeries","tt0068112","https://www.imdb.com/title/tt0068112/","Adventure","US;AU","United States;Australia","US","AU;US"
"1973","1","Star Trek: The Animated Series","7.2","9318","1973","1975","tvSeries","tt0069637","https://www.imdb.com/title/tt0069637/","Adventure;Sci-Fi","US","United States","US","US"
"1973","2","Super Friends","7.2","5131","1973","1985","tvSeries","tt0069641","https://www.imdb.com/title/tt0069641/","Adventure;Fantasy;Sci-Fi","US","United States","US","US"
"1974","1","The Six Million Dollar Man","7.1","14656","1974","1978","tvSeries","tt0071054","https://www.imdb.com/title/tt0071054/","Adventure;Sci-Fi","US","United States","US","US"
"1974","2","Planet of the Apes","7","6220","1974","1974","tvSeries","tt0071033","https://www.imdb.com/title/tt0071033/","Adventure;Sci-Fi","US","United States","US","US"
"1975","1","The New Tom & Jerry Show","7.8","10911","1975","1977","tvSeries","tt0130417","https://www.imdb.com/title/tt0130417/","Adventure","US","United States","US","US"
"1975","2","Space: 1999","7.3","10497","1975","1977","tvSeries","tt0072564","https://www.imdb.com/title/tt0072564/","Adventure;Sci-Fi","GB","United Kingdom","GB","GB"
"1975","3","Wonder Woman","7","11428","1975","1979","tvSeries","tt0074074","https://www.imdb.com/title/tt0074074/","Adventure;Fantasy;Sci-Fi","US","United States","US","US"
"1976","1","The Bionic Woman","6.7","9162","1976","1978","tvSeries","tt0073965","https://www.imdb.com/title/tt0073965/","Adventure;Sci-Fi","US","United States","US","US"
"1976","2","Charlie's Angels","6.6","16051","1976","1981","tvSeries","tt0073972","https://www.imdb.com/title/tt0073972/","Adventure","US","United States","US","US"
"1977","1","The Incredible Hulk","7","18058","1977","1982","tvSeries","tt0077031","https://www.imdb.com/title/tt0077031/","Adventure;Sci-Fi","US","United States","US","US"
"1977","2","Fantasy Island","6.6","10037","1977","1984","tvSeries","tt0077008","https://www.imdb.com/title/tt0077008/","Adventure;Fantasy","US","United States","US","US"
