"Title","Year","Score","Votes","Tags","Genres","PrimaryOrigin","Id","Url"
"The Pendragon Cycle: Rise of the Merlin","2026","6","3501","Fantasy","Drama, Fantasy","US","tt23734948","https://www.imdb.com/title/tt23734948/"
"CIA","2026","6.2","3114","Adventure","Action, Adventure, Crime, Drama, Mystery, Thriller","US","tt35515227","https://www.imdb.com/title/tt35515227/"
"Regular Show: The Lost Tapes","2026","9","1151","Adventure, Fantasy, Sci-Fi","Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, Sci-Fi","US","tt32604054","https://www.imdb.com/title/tt32604054/"
"Fear Factor: House of Fear","2026","6.2","760","Adventure","Adventure, Drama, Game-Show, Reality-TV, Thriller","US","tt36933578","https://www.imdb.com/title/tt36933578/"
"Secrets of the Bees","2026","8.6","711","Adventure","Adventure, Documentary, Family","US","tt26351133","https://www.imdb.com/title/tt26351133/"
"Gameoverse","2026","8.1","609","Adventure, Fantasy, Sci-Fi","Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi","US","tt39392013","https://www.imdb.com/title/tt39392013/"
"Star City","2026","6.7","574","Sci-Fi","Drama, Sci-Fi","US","tt32140872","https://www.imdb.com/title/tt32140872/"
"The Alpha's Cursed Luna","2026","8.2","436","Fantasy","Action, Drama, Fantasy, Romance, Short, Thriller","US","tt39335038","https://www.imdb.com/title/tt39335038/"
"Crookhaven","2026","6.5","406","Adventure","Adventure, Drama, Family, Mystery","GB","tt36590516","https://www.imdb.com/title/tt36590516/"
"The Grand-ish Tour","2026","6.1","277","Adventure","Adventure","US","tt42206913","https://www.imdb.com/title/tt42206913/"
"Kissed by Claw and Fang","2026","7.9","246","Fantasy","Drama, Fantasy, Romance","US","tt39892256","https://www.imdb.com/title/tt39892256/"
"The Vampire Prince's Bride","2026","6.8","146","Fantasy","Drama, Fantasy","CA","tt39465598","https://www.imdb.com/title/tt39465598/"
"The Hitwoman","2026","7.6","90","Adventure","Adventure, Drama","US","tt39872291","https://www.imdb.com/title/tt39872291/"
"David: King of Israel","2026","6","77","Adventure","Action, Adventure, Biography, Documentary, Drama, History","US","tt39141449","https://www.imdb.com/title/tt39141449/"
"Adepta Sororitas: Penitence","2026","7.4","76","Adventure, Fantasy, Sci-Fi","Action, Adventure, Animation, Fantasy, Sci-Fi","GB","tt40417182","https://www.imdb.com/title/tt40417182/"
"Hey A.J.!","2026","7.7","75","Adventure","Adventure, Animation, Comedy, Family","US","tt19872788","https://www.imdb.com/title/tt19872788/"
"Unicorn Academy: Secrets Revealed","2026","8.2","74","Adventure, Fantasy","Adventure, Animation, Comedy, Family, Fantasy, Music","CA","tt40029087","https://www.imdb.com/title/tt40029087/"
"The Summit","2026","6.3","74","Adventure","Adventure, Reality-TV","GB","tt39714791","https://www.imdb.com/title/tt39714791/"
"Sofia the First: Royal Magic","2026","7.9","71","Adventure, Fantasy","Adventure, Animation, Family, Fantasy, Musical","US","tt23731346","https://www.imdb.com/title/tt23731346/"
"From Zero to Hero: My Super-Vision Husband","2026","7.6","61","Adventure","Adventure, Drama","US","tt39309537","https://www.imdb.com/title/tt39309537/"
"The Fae King","2026","7.9","55","Fantasy","Fantasy","US","tt39396516","https://www.imdb.com/title/tt39396516/"
"Daddy I'm Your Lucky Star!","2026","7.8","55","Adventure, Fantasy","Adventure, Family, Fantasy","US","tt39391429","https://www.imdb.com/title/tt39391429/"
"The Hunt: Prey vs Predator","2026","5.1","51","Adventure","Action, Adventure, Game-Show, Reality-TV","GB","tt37519081","https://www.imdb.com/title/tt37519081/"
"Agent P, Under C","2026","7.7","49","Adventure","Action, Adventure, Animation, Comedy, Short","US","tt39205293","https://www.imdb.com/title/tt39205293/"
"The Walking Dead: Marathon","2026","8.9","42","Adventure","Action, Adventure, Comedy, Drama, Horror","US","tt40498744","https://www.imdb.com/title/tt40498744/"
"Her Last Tear","2026","7.7","41","Sci-Fi","Crime, Drama, Sci-Fi","US","tt39307506","https://www.imdb.com/title/tt39307506/"
"Step Aside Ex, She's the Hidden Lycan Queen!","2026","7.7","37","Fantasy","Fantasy","US","tt39392616","https://www.imdb.com/title/tt39392616/"
"Rafi the Wishing Wizard","2026","6.5","35","Fantasy","Animation, Comedy, Family, Fantasy","GB","tt39760632","https://www.imdb.com/title/tt39760632/"
"Girl Troop versus Aliens","2026","8.2","34","Fantasy, Sci-Fi","Action, Drama, Family, Fantasy, Sci-Fi","GB","tt37709156","https://www.imdb.com/title/tt37709156/"
"Magicampers","2026","7.5","33","Adventure, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","US","tt28070105","https://www.imdb.com/title/tt28070105/"
